source,packId,phase,ply,spineDepth,mainLine,pieceCount,legalCount,band,since,until,speeds,total,white,draws,black,movesGE100,movesGE400,topMoves,fen
main,anti-caro-advance-early-c5,opening,6,0,True,32,38,1400,2024-01,2026-07,blitz+rapid+classical,963143,435161,36857,491125,12,12,c3:497753:224109/19497/254147;Nf3:220938:97749/8322/114867;dxc5:104139:48904/3703/51532;Bb5+:41856:19189/1734/20933;Be3:33213:14864/1292/17057;c4:23279:11630/945/10704;f4:18912:8094/633/10185;Nc3:7247:3497/236/3514;h3:4386:2079/154/2153;b3:1946:869/56/1021;Bd3:1835:869/49/917;Bf4:1462:624/55/783,rnbqkbnr/pp2pppp/8/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4
main,anti-caro-advance-early-c5,opening,6,0,True,32,38,1600,2024-01,2026-07,blitz+rapid+classical,1023488,458943,43447,521098,12,12,c3:604761:268724/26385/309652;Nf3:169609:73636/7068/88905;dxc5:113322:54985/4252/54085;Bb5+:41896:18934/1898/21064;f4:25942:11274/921/13747;Be3:23872:10443/1062/12367;c4:23457:11767/1055/10635;Nc3:5572:2577/232/2763;Bd3:3914:1835/157/1922;h3:2897:1259/106/1532;h4:1486:645/53/788;Ne2:1307:586/51/670,rnbqkbnr/pp2pppp/8/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4
main,anti-caro-advance-early-c5,opening,6,0,True,32,38,1800,2024-01,2026-07,blitz+rapid+classical,853446,385621,40198,427627,12,12,c3:532324:235795/25950/270579;dxc5:131612:65823/5643/60146;Nf3:95253:42050/4183/49020;Bb5+:26836:11951/1446/13439;f4:23412:9858/956/12598;c4:17120:8444/867/7809;Be3:9232:3895/430/4907;Bd3:6221:2842/251/3128;Nc3:3713:1684/157/1872;h4:1817:791/86/940;Ne2:1425:665/54/706;h3:1025:437/36/552,rnbqkbnr/pp2pppp/8/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4
main,anti-caro-advance-early-c5,opening,7,1,True,31,28,1400,2024-01,2026-07,blitz+rapid+classical,104105,48876,3701,51528,6,6,Nc6:77842:36435/2746/38661;e6:15774:7108/577/8089;Bf5:5549:2685/207/2657;Qa5+:2714:1517/92/1105;Nd7:1003:502/35/466;a6:839:414/33/392;d4:89:45/2/42;Qc7:73:31/3/39;f6:44:27/1/16;a5:39:23/1/15;Na6:28:19/1/8;b6:26:18/1/7,rnbqkbnr/pp2pppp/8/2PpP3/8/8/PPP2PPP/RNBQKBNR b KQkq - 0 4
main,anti-caro-advance-early-c5,opening,7,1,True,31,28,1600,2024-01,2026-07,blitz+rapid+classical,113286,54957,4249,54080,7,6,Nc6:82211:40028/3082/39101;e6:21057:9715/769/10573;Bf5:4731:2364/195/2172;Qa5+:3039:1717/123/1199;Nd7:1238:624/37/577;a6:630:323/25/282;Qc7:134:57/10/67;a5:80:39/3/38;d4:71:36/1/34;Na6:18:13/0/5;h6:14:7/1/6;f6:13:4/2/7,rnbqkbnr/pp2pppp/8/2PpP3/8/8/PPP2PPP/RNBQKBNR b KQkq - 0 4
main,anti-caro-advance-early-c5,opening,7,1,True,31,28,1800,2024-01,2026-07,blitz+rapid+classical,131582,65797,5640,60145,7,5,Nc6:86727:44018/3581/39128;e6:36553:17342/1723/17488;Bf5:3361:1755/131/1475;Qa5+:2527:1454/103/970;Nd7:1565:802/70/693;a6:378:192/14/172;Qc7:229:105/6/118;d4:87:47/2/38;a5:75:35/4/36;Na6:17:8/1/8;b6:14:10/0/4;f6:11:6/2/3,rnbqkbnr/pp2pppp/8/2PpP3/8/8/PPP2PPP/RNBQKBNR b KQkq - 0 4
main,anti-caro-advance-early-c5,opening,8,2,True,31,39,1400,2024-01,2026-07,blitz+rapid+classical,77786,36430,2741,38615,12,11,Nf3:30740:13907/1122/15711;Bb5:17576:8589/603/8384;f4:10437:4870/347/5220;Nc3:4768:2483/174/2111;Bf4:3975:1720/147/2108;a3:2604:1318/88/1198;Be3:2183:980/74/1129;c3:1912:918/64/930;c4:1206:625/48/533;b4:626:269/18/339;Bd2:450:210/15/225;Qe2:249:111/12/126,r1bqkbnr/pp2pppp/2n5/2PpP3/8/8/PPP2PPP/RNBQKBNR w KQkq - 1 5
main,anti-caro-advance-early-c5,opening,8,2,True,31,39,1600,2024-01,2026-07,blitz+rapid+classical,82184,40027,3080,39077,12,10,Nf3:31750:15268/1252/15230;Bb5:17586:8640/655/8291;f4:15974:7713/542/7719;Nc3:4080:2128/154/1798;a3:3705:1935/147/1623;Bf4:2736:1238/100/1398;c3:1652:863/55/734;Be3:1490:720/53/717;c4:1380:737/56/587;b4:475:203/17/255;Bd2:321:133/10/178;Bd3:209:94/12/103,r1bqkbnr/pp2pppp/2n5/2PpP3/8/8/PPP2PPP/RNBQKBNR w KQkq - 1 5
main,anti-caro-advance-early-c5,opening,8,2,True,31,39,1800,2024-01,2026-07,blitz+rapid+classical,86703,44017,3577,39109,12,9,Nf3:36767:18702/1549/16516;f4:18574:9250/779/8545;Bb5:18165:9312/715/8138;a3:4299:2303/190/1806;Nc3:2483:1298/92/1093;Bf4:1649:817/56/776;c3:1486:739/64/683;c4:1388:756/51/581;Be3:872:407/44/421;b4:243:94/7/142;Bd2:137:51/8/78;Bd3:127:56/5/66,r1bqkbnr/pp2pppp/2n5/2PpP3/8/8/PPP2PPP/RNBQKBNR w KQkq - 1 5
main,anti-caro-advance-early-c5,opening,9,3,True,31,31,1400,2024-01,2026-07,blitz+rapid+classical,56013,25078,2067,28868,5,4,Bg4:46848:20682/1741/24425;e6:6195:2873/221/3101;Bf5:1747:871/68/808;Qa5+:704:383/14/307;a6:293:139/14/140;Qc7:42:20/2/20;d4:40:19/1/20;f6:29:17/1/11;Nxe5:24:22/0/2;a5:24:12/0/12;g6:22:12/1/9;Be6:11:7/2/2,r1bqkbnr/pp2pppp/2n5/2PpP3/8/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 5
